,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,PARKING,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
0,Residential Apartment,Secunderabad,1,2.0,2,4,1,5.0,"23,24,5,17,6,20,21",5700.0,1215.0,1215.030205952,692500000.0,1.0,2,2,Manikonda,17.575957,78.471167,Luxury,1214.969794048,0,0,0,0,1,0,0,1,0,0,0
1,Residential Apartment,Hyderabad,1,3.0,4,3,5,30.0,"44,45,12,24,19,1,3,9,40,41,20,42,21",5428.0,1658.0,1657.965118912,9000000.0,3.0,9,3,Manikonda,17.58048163680935,78.93686802452929,Luxury,1657.965118912,1,0,1,0,0,1,1,1,0,0,0
2,Residential Land,Hyderabad,1,,0,3,0,3.0,"23,24,26,5",3333.0,4500.0,4499.960381824,15000000.0,,,,Manikonda,17.491595,78.2920407,Luxury,4499.960381824,0,0,0,0,0,0,0,0,0,0,0
3,Residential Land,Hyderabad,1,,0,2,0,4.0,5,243902.0,7011.0,7010.965399936001,190000000.0,,,,Manikonda,17.4359437,78.3416731,Budget,7010.965399936001,0,0,0,0,0,0,0,0,0,0,0
4,Independent House/Villa,Hyderabad,1,3.0,2,4,6,1.0,"23,12,1,46,3,47,6,9,40,41,42,43",115960.0,3609.0,3609.0315180160005,55000000.0,1.0,,,Manikonda,17.406421,78.616398,Luxury,3608.9684819839995,1,0,1,0,1,1,1,0,0,0,0
5,Independent/Builder Floor,Hyderabad,1,2.0,4,2,3,2.0,"44,24,47,30,42",7964.0,565.0,564.9976568960001,4500000.0,1.0,1,2,Manikonda,17.5316,78.26729,Luxury,564.9976568960001,0,0,0,0,0,0,0,0,0,0,0
6,Residential Apartment,Hyderabad,1,2.0,1,3,1,5.0,"23,1,25,26,19,30",4771.0,1205.0,1205.01976928,57500000.0,1.0,4,2,Manikonda,17.620662,77.953509,Luxury,1204.98023072,1,0,0,0,0,0,0,0,1,0,0
7,Residential Apartment,Hyderabad,4,2.0,2,3,2,5.0,"23,12,3,26,5,17,6,9,20,21",6528.0,1685.0,1684.982534016,10500000.0,3.0,2,2,Manikonda,17.343347,78.513876,Luxury,1684.982534016,0,0,1,0,1,1,1,1,0,0,0
8,Independent House/Villa,Secunderabad,1,2.0,0,1,3,1.0,"44,24,39,42",109000.0,1746.0,1746.013905984,21100000.0,0.0,,,Manikonda,17.42226,78.461683,Semi-luxury,1745.986094016,0,0,0,0,0,0,0,0,0,0,1
9,Independent House/Villa,Secunderabad,1,7.0,4,4,1,3.0,"24,19",183520.0,2403.0,2403.0429968,49000000.0,4.0,,,Manikonda,17.458907,78.352402,Semi-luxury,2402.9570032,0,0,0,0,0,0,0,0,0,0,0
10,Residential Apartment,Hyderabad,1,3.0,1,3,3,4.0,45,6188.0,1325.0,1325.03737024,8200000.0,2.0,3,3,Manikonda,17.538237,78.480804,Budget,1324.96262976,0,0,0,0,0,0,0,0,0,0,0
11,Residential Apartment,Hyderabad,1,2.0,0,3,5,22.0,"33,23,12,24,47,25,17,29,19,1,3,5,6,9,40,41,20,31,21,43",7700.0,1433.0,1432.999391552,13600000.000000002,2.0,13,2,Manikonda,17.396947,78.340246,Luxury,1432.999391552,1,0,1,0,1,1,1,1,1,1,0
