PROPERTY_TYPE,OWNTYPE,BEDROOM_NUM,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,BALCONY_NUM,FLOOR_NUM,BHK,LATITUDE,LONGITUDE,LUXURY,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,ATM,GYM,WASTE_DISPOSAL,GAS_PIPELINE,PRICE
2.0,1,3.0,3,5,30,5428.0,1658.0,3,9,3,17.58048163680935,78.93686802452929,1.0,1,0,1,1,1,0,0,9000000.0
1.0,1,2.0,2,3,2,7964.0,565.0,1,1,2,17.5316,78.26729,1.0,0,0,0,0,0,0,0,4500000.0
2.0,1,2.0,3,1,5,4771.0,1205.0,1,4,2,17.620662,77.953509,1.0,1,0,0,0,0,1,0,57500000.0
2.0,4,2.0,3,2,5,6528.0,1685.0,3,2,2,17.343347,78.513876,1.0,0,0,1,1,1,0,0,10500000.0
2.0,1,3.0,3,3,4,6188.0,1325.0,2,3,3,17.538237,78.480804,0.0,0,0,0,0,0,0,0,8200000.0
2.0,1,2.0,3,5,22,7700.0,1433.0,2,13,2,17.396947,78.340246,1.0,1,0,1,1,1,1,1,13600000.000000002
0.0,1,5.0,1,3,3,16250.0,4000.0,2,3,5,17.532558,78.529251,1.0,0,0,0,0,0,1,0,55000000.0
0.0,1,6.0,0,1,2,26000.0,2250.0,1,2,6,17.5227762257577,78.6210684465697,2.0,0,0,0,0,0,0,0,52000000.0
1.0,1,3.0,1,2,5,5990.0,1536.0,2,4,3,17.460537,78.497056,1.0,0,0,0,0,0,1,0,94500000.0
0.0,1,10.0,0,2,2,4895.0,1800.0,2,2,10,17.500334,78.3275388,1.0,0,0,0,0,0,0,0,23500000.0
2.0,1,2.0,4,6,5,5638.0,1312.0,1,3,2,17.3858754,78.361176,2.0,0,0,0,0,0,0,0,7400000.0
2.0,1,2.0,3,1,5,5833.0,1200.0,2,2,2,17.531253,78.390583,1.0,0,0,0,0,0,0,0,7000000.0
0.0,1,3.0,3,6,2,13750.0,1600.0,2,2,3,17.538237,78.480804,1.0,1,0,1,1,1,1,0,22000000.0
2.0,1,3.0,1,3,5,3399.0,1765.0,1,4,3,17.442196,78.280067,1.0,0,0,0,0,1,0,0,6000000.0
2.0,1,3.0,3,1,5,7488.0,2270.0,2,5,3,17.518637,78.340735,1.0,0,0,0,0,0,0,0,17000000.0
0.0,1,2.0,3,6,2,33879.0,1647.0,2,2,2,17.392278,78.353868,1.0,0,0,0,0,0,0,0,6200000.0
0.0,1,3.0,5,3,2,11666.0,2400.0,1,2,3,78.48667,17.38504,1.0,0,0,0,0,0,1,0,28000000.0
2.0,1,3.0,5,5,4,4575.0,1530.0,2,3,3,17.407322,78.539665,1.0,0,0,0,0,0,0,0,7000000.0
2.0,1,3.0,1,3,4,5084.0,1475.0,2,1,3,17.62948,78.4943,2.0,0,0,0,0,0,0,0,7500000.0
0.0,1,4.0,3,3,3,17777.0,4500.0,3,3,4,17.4609913,78.3532083,1.0,0,0,1,1,1,0,0,75000000.0
2.0,1,3.0,0,5,40,6500.0,2600.0,1,12,3,17.6197,78.082693,2.0,1,0,1,1,1,0,0,16900000.0
2.0,1,3.0,5,6,4,9090.0,2200.0,4,2,3,17.25756,78.85695,1.0,0,0,0,1,0,1,0,20000000.0
0.0,1,4.0,3,5,1,7656.0,4310.0,3,1,4,17.563203,78.401403,1.0,1,0,1,0,0,0,0,33000000.0
2.0,1,2.0,3,6,5,6034.0,1160.0,2,3,2,78.48667,17.38504,1.0,1,0,1,1,1,1,0,7000000.0
1.0,1,3.0,3,2,4,2781.0,1880.0,2,0,3,17.368876,78.55348,2.0,0,0,0,1,0,0,0,49500000.0
0.0,1,3.0,0,3,2,75418.0,1611.0,1,2,3,17.396115,78.357941,2.0,0,0,0,0,0,0,0,13500000.0
2.0,1,3.0,3,5,13,6352.0,1039.0,1,4,3,17.485206408706663,78.60681438946276,1.0,1,0,1,0,1,0,1,6700000.0
2.0,1,3.0,0,3,30,9368.0,1923.0,1,7,3,17.4062722,78.436657,1.0,1,0,1,1,1,0,0,17800000.0
2.0,1,3.0,5,3,5,9726.0,1645.0,2,3,3,17.138823,78.474569,1.0,1,0,0,0,1,0,0,16000000.0
0.0,1,2.0,0,5,2,93750.0,1440.0,1,2,2,17.4011618,78.37569,2.0,0,0,0,0,0,0,0,15000000.0
2.0,1,3.0,3,6,5,7812.0,1600.0,2,1,3,17.478768,78.575103,1.0,0,0,0,0,0,0,0,12500000.0
0.0,1,3.0,3,5,3,6481.0,2700.0,1,3,3,17.27395,78.59163,1.0,0,0,0,0,0,0,0,17500000.0
0.0,1,4.0,3,5,2,7045.0,1350.0,1,2,4,16.985875,78.499864,1.0,0,0,0,0,0,0,0,15500000.0
2.0,1,3.0,3,1,35,10536.0,1993.0,1,9,3,17.31144,78.53485,1.0,1,0,1,1,1,1,1,21000000.0
2.0,1,3.0,3,3,4,7692.0,1248.0,2,4,3,17.501856,78.624757,1.0,0,0,0,1,0,0,0,9600000.0
0.0,1,4.0,4,1,3,26123.0,2871.0,3,3,4,17.338049,78.612393,1.0,1,0,1,1,1,1,0,63000000.0
2.0,1,3.0,4,6,5,8196.0,1525.0,2,2,3,17.448846,78.38744,1.0,1,0,1,1,1,1,0,12500000.0
2.0,1,3.0,4,6,11,10500.0,2249.0,2,9,3,17.19515,78.65624,1.0,1,0,1,0,0,0,0,23500000.0
0.0,1,4.0,4,5,3,13513.0,4255.0,3,3,4,17.5468498,78.3650231,1.0,1,0,1,1,1,1,0,57500000.0
2.0,1,3.0,4,3,5,5504.0,1526.0,3,0,3,17.40223,78.3444,1.0,0,0,0,0,0,0,0,8400000.0
2.0,1,4.0,0,2,2,7500.0,2564.0,3,1,4,17.443354,78.182044,1.0,1,0,1,1,1,1,1,18000000.0
0.0,1,4.0,3,1,2,9130.0,1620.0,1,2,4,17.44007494380667,78.64775831900772,1.0,0,0,0,0,0,0,1,21000000.0
2.0,1,3.0,3,5,5,5882.0,1530.0,2,3,3,17.534325,78.331096,1.0,0,0,0,0,0,0,0,9500000.0
2.0,1,3.0,3,1,5,7712.0,1945.0,2,3,3,17.245672081157764,78.37147863892494,1.0,0,0,0,1,0,1,0,15000000.0
2.0,1,3.0,0,3,5,4193.0,1550.0,2,3,3,17.453725,78.290418,0.0,0,0,0,0,0,0,0,6500000.0
2.0,1,3.0,4,2,18,11500.0,2705.0,1,13,3,17.533096,78.477854,1.0,1,0,1,1,1,0,1,31100000.0
0.0,1,4.0,0,2,2,6000.0,3000.0,2,2,4,17.484046,78.358808,1.0,0,0,0,0,0,0,0,17000000.0
2.0,1,3.0,4,6,6,6348.0,1520.0,2,5,3,17.233562897673416,78.54189608906688,1.0,0,0,0,0,0,0,0,96500000.0
2.0,1,3.0,3,6,9,8186.0,1820.0,1,3,3,17.518915,78.301535,1.0,1,0,1,1,1,1,1,14900000.0
