,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,PRICE_SQFT,AREA,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,PARKING.1,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
0,Residential Apartment,Secunderabad,1,2.0,2,4,1,5,"23,24,5,17,6,20,21",5700.0,1215.0,692500000.0,1,2,2,Manikonda,17.575957,78.471167,Luxury,0,0,0,0,1,0,0,1,0,0,0
1,Residential Apartment,Hyderabad,1,3.0,4,3,5,30,"44,45,12,24,19,1,3,9,40,41,20,42,21",5428.0,1658.0,9000000.0,3,9,3,Manikonda,17.58048163680935,78.93686802452929,Luxury,1,0,1,0,0,1,1,1,0,0,0
4,Independent House/Villa,Hyderabad,1,3.0,2,4,6,1,"23,12,1,46,3,47,6,9,40,41,42,43",115960.0,3609.0,55000000.0,1,1,3,Manikonda,17.406421,78.616398,Luxury,1,0,1,0,1,1,1,0,0,0,0
5,Independent/Builder Floor,Hyderabad,1,2.0,4,2,3,2,"44,24,47,30,42",7964.0,565.0,4500000.0,1,1,2,Manikonda,17.5316,78.26729,Luxury,0,0,0,0,0,0,0,0,0,0,0
6,Residential Apartment,Hyderabad,1,2.0,1,3,1,5,"23,1,25,26,19,30",4771.0,1205.0,57500000.0,1,4,2,Manikonda,17.620662,77.953509,Luxury,1,0,0,0,0,0,0,0,1,0,0
7,Residential Apartment,Hyderabad,4,2.0,2,3,2,5,"23,12,3,26,5,17,6,9,20,21",6528.0,1685.0,10500000.0,3,2,2,Manikonda,17.343347,78.513876,Luxury,0,0,1,0,1,1,1,1,0,0,0
8,Independent House/Villa,Secunderabad,1,2.0,0,1,3,1,"44,24,39,42",109000.0,1746.0,21100000.0,0,1,2,Manikonda,17.42226,78.461683,Semi-luxury,0,0,0,0,0,0,0,0,0,0,1
9,Independent House/Villa,Secunderabad,1,7.0,4,4,1,3,"24,19",183520.0,2403.0,49000000.0,4,3,7,Manikonda,17.458907,78.352402,Semi-luxury,0,0,0,0,0,0,0,0,0,0,0
10,Residential Apartment,Hyderabad,1,3.0,1,3,3,4,45,6188.0,1325.0,8200000.0,2,3,3,Manikonda,17.538237,78.480804,Budget,0,0,0,0,0,0,0,0,0,0,0
11,Residential Apartment,Hyderabad,1,2.0,0,3,5,22,"33,23,12,24,47,25,17,29,19,1,3,5,6,9,40,41,20,31,21,43",7700.0,1433.0,13600000.000000002,2,13,2,Manikonda,17.396947,78.340246,Luxury,1,0,1,0,1,1,1,1,1,1,0
13,Independent House/Villa,Secunderabad,1,5.0,1,1,3,3,"24,25,26,19,8",16250.0,4000.0,55000000.0,2,3,5,Manikonda,17.532558,78.529251,Luxury,0,0,0,0,0,0,0,0,1,0,0
14,Independent House/Villa,Secunderabad,1,2.0,2,2,3,1,"24,25,47,5,6,39,8,40,41,42,43",12083.0,1764.0,14500000.0,0,1,2,Manikonda,17.4609913,78.3532083,Luxury,0,0,0,0,1,0,0,0,1,0,1
15,Independent House/Villa,Hyderabad,1,6.0,4,0,1,2,"5,8",26000.0,2250.0,52000000.0,1,2,6,Manikonda,17.5227762257577,78.6210684465697,Semi-luxury,0,0,0,0,0,0,0,0,0,0,0
17,Independent/Builder Floor,Hyderabad,1,3.0,1,1,2,5,"24,25,26",5990.0,1536.0,94500000.0,2,4,3,Manikonda,17.460537,78.497056,Luxury,0,0,0,0,0,0,0,0,1,0,0
18,Independent House/Villa,Hyderabad,3,2.0,2,2,3,1,"24,5",100000.0,2862.0,31800000.0,0,1,2,Manikonda,78.48667,17.38504,Semi-luxury,0,0,0,0,0,0,0,0,0,0,0
19,Independent House/Villa,Hyderabad,1,10.0,2,0,2,2,"47,28,19,8,40,30,41,43",4895.0,1800.0,23500000.0,2,2,10,Manikonda,17.500334,78.3275388,Luxury,0,0,0,0,0,0,0,0,0,0,0
20,Residential Apartment,Secunderabad,1,2.0,2,4,6,5,"24,40,41,42",5638.0,1312.0,7400000.0,1,3,2,Manikonda,17.3858754,78.361176,Semi-luxury,0,0,0,0,0,0,0,0,0,0,0
21,Residential Apartment,Hyderabad,1,2.0,1,3,1,5,"23,5,17",5833.0,1200.0,7000000.0,2,2,2,Manikonda,17.531253,78.390583,Luxury,0,0,0,0,0,0,0,0,0,0,0
22,Independent House/Villa,Hyderabad,1,3.0,2,3,6,2,"23,12,1,24,25,3,26,5,6,19,8,9",13750.0,1600.0,22000000.0,2,2,3,Manikonda,17.538237,78.480804,Luxury,1,0,1,0,1,1,1,0,1,0,0
23,Residential Apartment,Hyderabad,1,3.0,2,1,3,5,"44,23,12,24,26,17,39,19,21",3399.0,1765.0,6000000.0,1,4,3,Manikonda,17.442196,78.280067,Luxury,0,0,0,0,0,0,1,1,0,0,1
24,Residential Apartment,Hyderabad,1,3.0,4,3,1,5,"23,24,5,17,6,19,40,41,20,42,21",7488.0,2270.0,17000000.0,2,5,3,Manikonda,17.518637,78.340735,Luxury,0,0,0,0,1,0,0,1,0,0,0
25,Independent House/Villa,Hyderabad,1,2.0,1,3,6,2,"24,47,5,6,19,8,40,41",33879.0,1647.0,6200000.0,2,2,2,Manikonda,17.392278,78.353868,Luxury,0,0,0,0,1,0,0,0,0,0,0
26,Independent House/Villa,Hyderabad,1,3.0,1,5,3,2,"23,24,25,5,6,19,8",11666.0,2400.0,28000000.0,1,2,3,Manikonda,78.48667,17.38504,Luxury,0,0,0,0,1,0,0,0,1,0,0
27,Residential Apartment,Hyderabad,1,3.0,2,5,5,4,"24,5,17,6,19,21",4575.0,1530.0,7000000.0,2,3,3,Manikonda,17.407322,78.539665,Luxury,0,0,0,0,1,0,0,1,0,0,0
28,Residential Apartment,Hyderabad,1,3.0,2,1,3,4,"5,40,42,21",5084.0,1475.0,7500000.0,2,1,3,Manikonda,17.62948,78.4943,Semi-luxury,0,0,0,0,0,0,0,1,0,0,0
29,Independent House/Villa,Secunderabad,1,4.0,4,3,3,3,"45,12,46,3,47,39,8,9,40,41,30,42",17777.0,4500.0,75000000.0,3,3,4,Manikonda,17.4609913,78.3532083,Luxury,0,0,1,0,0,1,1,0,0,0,1
30,Residential Apartment,Hyderabad,1,3.0,2,0,5,40,"12,1,3,9",6500.0,2600.0,16900000.0,1,12,3,Manikonda,17.6197,78.082693,Semi-luxury,1,0,1,0,0,1,1,0,0,0,0
31,Residential Apartment,Hyderabad,1,3.0,2,5,6,4,"23,45,24,47,25,17,19,5,9,40,41,42,21",9090.0,2200.0,20000000.0,4,2,3,Manikonda,17.25756,78.85695,Luxury,0,0,0,0,0,1,0,1,1,0,0
32,Independent House/Villa,Hyderabad,1,4.0,2,4,1,2,24,129629.0,1215.0,17500000.0,2,2,4,Manikonda,17.44007494380667,78.64775831900772,Semi-luxury,0,0,0,0,0,0,0,0,0,0,0
33,Residential Apartment,Hyderabad,1,2.0,2,3,5,15,"6,20,21",6800.0,1440.0,979200000.0,1,8,2,Manikonda,17.361288,78.606466,Luxury,0,0,0,0,1,0,0,1,0,0,0
34,Independent House/Villa,Hyderabad,1,4.0,0,3,5,1,"44,45,1,24,3,5,8,19,40,41,42",7656.0,4310.0,33000000.0,3,1,4,Manikonda,17.563203,78.401403,Luxury,1,0,1,0,0,0,0,0,0,0,0
35,Residential Apartment,Hyderabad,1,2.0,2,3,6,5,"33,23,12,24,47,25,26,17,19,1,3,5,6,9,40,41,20,21",6034.0,1160.0,7000000.0,2,3,2,Manikonda,78.48667,17.38504,Luxury,1,0,1,0,1,1,1,1,1,0,0
36,Independent/Builder Floor,Hyderabad,1,3.0,2,3,2,4,"19,9",2781.0,1880.0,49500000.0,2,0,3,Manikonda,17.368876,78.55348,Semi-luxury,0,0,0,0,0,1,0,0,0,0,0
37,Independent House/Villa,Secunderabad,1,3.0,0,0,3,2,"24,5",75418.0,1611.0,13500000.0,1,2,3,Manikonda,17.396115,78.357941,Semi-luxury,0,0,0,0,0,0,0,0,0,0,0
38,Residential Apartment,Hyderabad,1,3.0,0,3,5,13,"1,12,3,26,6,29,21",6352.0,1039.0,6700000.0,1,4,3,Manikonda,17.485206408706663,78.60681438946276,Luxury,1,0,1,0,1,0,1,1,0,1,0
39,Residential Apartment,Hyderabad,1,3.0,4,0,3,30,"33,23,12,1,24,3,26,5,17,6,9,21",9368.0,1923.0,17800000.0,1,7,3,Manikonda,17.4062722,78.436657,Luxury,1,0,1,0,1,1,1,1,0,0,0
40,Residential Apartment,Hyderabad,1,3.0,4,5,3,5,"1,12,6,30,20,21",9726.0,1645.0,16000000.0,2,3,3,Manikonda,17.138823,78.474569,Luxury,1,0,0,0,1,0,1,1,0,0,0
41,Independent House/Villa,Hyderabad,1,2.0,2,0,5,2,"24,19",93750.0,1440.0,15000000.0,1,2,2,Manikonda,17.4011618,78.37569,Semi-luxury,0,0,0,0,0,0,0,0,0,0,0
42,Residential Apartment,Hyderabad,1,3.0,1,3,6,5,"5,6,20,21",7812.0,1600.0,12500000.0,2,1,3,Manikonda,17.478768,78.575103,Luxury,0,0,0,0,1,0,0,1,0,0,0
43,Independent House/Villa,Hyderabad,1,3.0,2,3,5,3,"23,24,5,6,8",6481.0,2700.0,17500000.0,1,3,3,Manikonda,17.27395,78.59163,Luxury,0,0,0,0,1,0,0,0,0,0,0
44,Independent House/Villa,Hyderabad,1,4.0,2,3,5,2,"24,47,5,8",7045.0,1350.0,15500000.0,1,2,4,Manikonda,16.985875,78.499864,Luxury,0,0,0,0,0,0,0,0,0,0,0
45,Residential Apartment,Hyderabad,1,3.0,4,3,1,35,"44,33,23,12,24,47,25,26,17,29,19,1,3,5,6,8,9,40,41,20,42,21,32",10536.0,1993.0,21000000.0,1,9,3,Manikonda,17.31144,78.53485,Luxury,1,0,1,0,1,1,1,1,1,1,0
46,Farm House,Hyderabad,1,4.0,1,3,1,2,"44,45,24,46,47,5,6,19,40,41,42,43",3739.0,9360.0,40000000.0,2,2,4,Manikonda,17.49182,78.32617,Luxury,0,0,0,0,1,0,0,0,0,0,0
47,Residential Apartment,Hyderabad,1,3.0,1,3,3,4,"24,9,40,41,42,21",7692.0,1248.0,9600000.0,2,4,3,Manikonda,17.501856,78.624757,Luxury,0,0,0,0,0,1,0,1,0,0,0
48,Independent House/Villa,Hyderabad,1,4.0,2,4,1,3,"23,12,24,46,25,26,19,1,3,5,6,9,40,41,42",26123.0,2871.0,63000000.0,3,3,4,Manikonda,17.338049,78.612393,Luxury,1,0,1,0,1,1,1,0,1,0,0
50,Independent House/Villa,Hyderabad,1,2.0,2,0,3,2,N,202312.0,3114.0,70000000.0,2,2,2,Manikonda,17.448427,78.687648,Budget,0,0,0,0,0,0,0,0,0,0,0
51,Independent House/Villa,Secunderabad,1,3.0,2,5,3,1,"24,46,3,5,19,8,9,40,41,42",117269.0,11205.0,139000000.0,4,1,3,Manikonda,17.459103,78.541334,Luxury,0,0,1,0,0,1,0,0,0,0,0
52,Residential Apartment,Hyderabad,1,3.0,4,4,6,5,"44,33,23,45,12,24,47,25,26,17,19,1,3,5,6,9,40,30,20,42,31,21,43",8196.0,1525.0,12500000.0,2,2,3,Manikonda,17.448846,78.38744,Luxury,1,0,1,0,1,1,1,1,1,0,0
53,Residential Apartment,Hyderabad,1,3.0,2,4,6,11,"23,1,24,3,5,17,6,19,20,21",10500.0,2249.0,23500000.0,2,9,3,Manikonda,17.19515,78.65624,Luxury,1,0,1,0,1,0,0,1,0,0,0
