,PROPERTY_TYPE,CITY,LOCALITY,OWNTYPE,BEDROOM_NUM,BALCONY_NUM,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,PRICE_SQFT,CARPET_SQFT,SUPERBUILTUP_SQFT,AREA,PRICE,BHK,LATITUDE,LONGITUDE,LUXURY
0,Residential Apartment,Gurgaon,Sector 84,1,4.0,4.0,4,1,2,14,26.0,8766.0,3000.0,3434.0,3434,26300000.0,4.0,28.4065341,76.9627918,Semi-luxury
1,Residential Apartment,Gurgaon,Sector 81,1,4.0,3.0,4,1,1,7,29.0,21176.0,1700.0,2870.0,2870,36000000.0,4.0,28.3889069,76.9513279,Semi-luxury
2,Residential Apartment,Gurgaon,Sector 66,0,3.0,2.0,1,4,1,7,17.0,43.0,1450.0,1950.0,1950,85000.0,3.0,28.401406,77.050549,Semi-luxury
3,Residential Apartment,Gurgaon,Sector 112,1,3.0,3.0,4,0,1,14,28.0,13740.0,,2802.0,2802,38500000.0,3.0,28.518677,77.015115,Semi-luxury
4,Residential Apartment,Gurgaon,Sector 104,0,3.0,4.0,4,6,1,12,27.0,17.0,,2290.0,2290,40000.0,4.0,28.47844,76.98611,Semi-luxury
5,Residential Apartment,Gurgaon,Sector 104,1,3.0,4.0,4,2,1,4,27.0,8515.0,,2290.0,2290,19500000.0,3.0,28.47844,76.98611,Semi-luxury
6,Residential Apartment,Gurgaon,Sector 104,0,4.0,4.0,4,8,1,7,27.0,14.0,,3150.0,3150,45000.0,4.0,28.47844,76.98611,Semi-luxury
7,Residential Apartment,Gurgaon,Sector 74,1,2.0,3.0,2,3,6,12,30.0,11571.0,,1400.0,1400,16200000.000000002,2.0,28.4164,77.01262,Semi-luxury
8,Residential Land,Gurgaon,Sector 108,1,,,0,0,0,,3.0,119889.0,,,1629,21700000.0,,28.510599,76.98856,Semi-luxury
9,Independent/Builder Floor,Gurgaon,Sector 102,1,3.0,3.0,4,6,1,G,3.0,72607.0,,2727.000000000273,2727,22000000.0,3.0,28.474861,76.976292,Luxury
10,Residential Land,Gurgaon,Sector 99,1,,,0,4,0,,2.0,160000.0,,,2340,41600000.0,,28.463121,76.962544,Semi-luxury
11,Residential Apartment,Gurgaon,Sector 60,1,4.0,4.0,4,5,1,39,39.0,15463.0,3080.0,4850.0,4850,75000000.0,4.0,28.39988,77.09654,Semi-luxury
12,Residential Apartment,Gurgaon,Sector 74,1,2.0,3.0,2,3,6,16,30.0,11428.0,,1400.0,1400,16000000.0,2.0,28.4164,77.01262,Semi-luxury
13,Residential Apartment,Gurgaon,Sector 66,0,3.0,2.0,4,4,1,G,17.0,35.0,1450.0,1950.0,1950,70000.0,3.0,28.401406,77.050549,Semi-luxury
14,Residential Apartment,Gurgaon,Sector 66,1,3.0,2.0,4,4,1,4,17.0,23648.0,1480.0,1950.0,1950,35000000.0,3.0,28.401406,77.050549,Semi-luxury
15,Residential Land,Gurgaon,Sector 108,1,,,0,0,0,,3.0,120000.0,,,1935,25800000.0,,28.510599,76.98856,Semi-luxury
16,Residential Apartment,Gurgaon,Sector 110,1,5.0,4.0,4,0,1,14,21.0,11597.0,,3880.0,3880,45000000.0,4.0,28.501365,77.010746,Semi-luxury
17,Residential Apartment,Gurgaon,Sector 109,1,3.0,3.0,4,0,1,1,20.0,7159.0,,2165.0,2165,15500000.0,3.0,28.51337,77.007362,Semi-luxury
18,Residential Apartment,Gurgaon,Sector 102,1,3.0,3.0,0,0,1,10,14.0,9382.0,,2025.0,2025,19000000.0,3.0,28.479934,76.969137,Semi-luxury
19,Residential Apartment,Gurgaon,Sector 102,1,3.0,3.0,4,0,1,2,14.0,9500.0,,2000.0,2000,19000000.0,3.0,28.479934,76.969137,Semi-luxury
20,Residential Apartment,Gurgaon,Sector 65,1,3.0,4.0,4,5,1,33,42.0,20370.0,1212.0,2430.0,2430,49500000.0,3.0,28.3998268,77.0610017,Semi-luxury
21,Residential Apartment,Gurgaon,Sector 102,1,2.0,3.0,4,3,1,8,14.0,10699.0,,1215.0,1215,13000000.0,2.0,28.479276836122,76.976094508889,Semi-luxury
22,Independent/Builder Floor,Gurgaon,Sector 37D,1,3.0,2.0,4,4,5,2,4.0,12105.0,950.0,1250.0,1250,11500000.0,,28.440761,76.972101,Luxury
23,Residential Apartment,Gurgaon,Sector 113,1,3.0,3.0,4,0,5,12,36.0,12612.0,1150.0,1665.0,1665,21000000.0,3.0,28.522621253811,77.025486549749,Semi-luxury
24,Residential Apartment,Gurgaon,Sector 66,1,4.0,2.0,4,1,1,5,17.0,17517.0,2200.0,3625.0,3625,63500000.0,4.0,28.4015851,77.0497516,Semi-luxury
25,Residential Apartment,Gurgaon,Sector 111,1,3.0,2.0,1,3,6,7,21.0,16000.0,2200.0,,2200,35600000.0,3.0,28.519268,77.027259,Semi-luxury
26,Residential Apartment,Gurgaon,Sector 111,1,3.0,2.0,1,3,6,2,21.0,13000.0,,,1700,22500000.0,3.0,28.519268,77.027259,Semi-luxury
27,Residential Apartment,Gurgaon,Sector 65,1,3.0,2.0,4,5,1,9,40.0,18138.0,2010.0,3363.0,3363,61000000.0,3.0,28.401137,77.064929,Semi-luxury
28,Residential Apartment,Gurgaon,Sector 61,0,4.0,4.0,4,1,1,6,14.0,31.0,,2690.0,2690,85000.0,4.0,28.41474,77.09192,Semi-luxury
29,Independent/Builder Floor,Gurgaon,Block B Sushant Lok Phase - 3,1,3.0,2.0,0,3,6,4,4.0,93023.0,,1935.0000000001933,1935,20000000.0,3.0,28.42093,77.08117,Luxury
30,Residential Apartment,Gurgaon,Sector 62,1,3.0,3.0,4,4,6,10,32.0,16550.0,1296.93,2567.89,2567,42500000.0,3.0,28.40356,77.085012,Semi-luxury
31,Residential Apartment,Gurgaon,Sector 60,1,3.0,2.0,4,6,1,5,12.0,15158.0,1289.0,2045.0,2045,31000000.0,3.0,28.39988,77.09654,Semi-luxury
32,Independent House/Villa,Gurgaon,Sector 37D,1,3.0,3.0,4,5,5,,4.0,9771.0,1020.0,,1535,15000000.0,2.0,28.439540901931,76.969755011392,Luxury
33,Independent House/Villa,Gurgaon,South City 1,1,4.0,2.0,4,3,6,,1.0,36000.0,,,5000,180000000.0,4.0,28.460089,77.066245,Luxury
34,Residential Apartment,Gurgaon,Sector 60,1,2.0,2.0,4,3,1,2,12.0,16117.0,,1365.0,1365,22000000.0,2.0,28.39988,77.09654,Semi-luxury
35,Residential Apartment,Gurgaon,Sector 60,0,3.0,2.0,4,3,1,5,9.0,29.0,,2403.0,2403,72000.0,3.0,28.39988,77.09654,Semi-luxury
