,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT
0,Residential Apartment,Secunderabad,1,2.0,2,4,1,5.0,5700.0,1215.0,1215.030205952,692500000.0,1.0,2,2,Manikonda,17.575957,78.471167,Luxury,1214.969794048
303,Residential Apartment,Hyderabad,1,3.0,4,3,5,30.0,5428.0,1658.0,1657.965118912,9000000.0,3.0,9,3,Manikonda,17.58048163680935,78.93686802452929,Luxury,1657.965118912
320,Residential Land,Hyderabad,1,,0,3,0,3.0,3333.0,4500.0,4499.960381824,15000000.0,,,,Manikonda,17.491595,78.2920407,Luxury,4499.960381824
329,Residential Land,Hyderabad,1,,0,2,0,4.0,243902.0,7011.0,7010.965399936001,190000000.0,,,,Manikonda,17.4359437,78.3416731,Budget,7010.965399936001
330,Independent House/Villa,Hyderabad,1,3.0,2,4,6,1.0,115960.0,3609.0,3609.0315180160005,55000000.0,1.0,,,Manikonda,17.406421,78.616398,Luxury,3608.9684819839995
333,Independent/Builder Floor,Hyderabad,1,2.0,4,2,3,2.0,7964.0,565.0,564.9976568960001,4500000.0,1.0,1,2,Manikonda,17.5316,78.26729,Semi-luxury,564.9976568960001
334,Residential Apartment,Hyderabad,1,2.0,1,3,1,5.0,4771.0,1205.0,1205.01976928,57500000.0,1.0,4,2,Manikonda,17.620662,77.953509,Luxury,1204.98023072
350,Residential Apartment,Hyderabad,4,2.0,2,3,2,5.0,6528.0,1685.0,1684.982534016,10500000.0,3.0,2,2,Manikonda,17.343347,78.513876,Luxury,1684.982534016
360,Independent House/Villa,Secunderabad,1,2.0,0,1,3,1.0,109000.0,1746.0,1746.013905984,21100000.0,0.0,,,Manikonda,17.42226,78.461683,Budget,1745.986094016
361,Independent House/Villa,Secunderabad,1,7.0,4,4,1,3.0,183520.0,2403.0,2403.0429968,49000000.0,4.0,,,Manikonda,17.458907,78.352402,Budget,2402.9570032
362,Residential Apartment,Hyderabad,1,3.0,1,3,3,4.0,6188.0,1325.0,1325.03737024,8200000.0,2.0,3,3,Manikonda,17.538237,78.480804,Budget,1324.96262976
368,Residential Apartment,Hyderabad,1,2.0,0,3,5,22.0,7700.0,1433.0,1432.999391552,13600000.000000002,2.0,13,2,Manikonda,17.396947,78.340246,Luxury,1432.999391552
369,Independent House/Villa,Hyderabad,1,2.0,0,0,3,,146017.0,2034.0,2033.9485091840002,33000000.0,0.0,,,Manikonda,17.401462,78.462863,Semi-luxury,2033.9485091840002
370,Independent House/Villa,Secunderabad,1,5.0,1,1,3,3.0,16250.0,4000.0,3999.9767437440005,55000000.0,2.0,,,Manikonda,17.532558,78.529251,Luxury,3999.9767437440005
371,Independent House/Villa,Secunderabad,1,2.0,2,2,3,1.0,12083.0,1764.0,1763.989636352,14500000.0,0.0,,,Manikonda,17.4609913,78.3532083,Luxury,1763.989636352
372,Independent House/Villa,Hyderabad,1,6.0,4,0,1,2.0,26000.0,2250.0,2249.980190912,52000000.0,1.0,,,Manikonda,17.5227762257577,78.6210684465697,Budget,2249.980190912
373,Residential Land,Hyderabad,1,,0,5,0,1.0,12500.0,3600.0,3599.98983328,5000000.0,,,,Manikonda,17.4011618,78.37569,Budget,3599.98983328
374,Independent/Builder Floor,Hyderabad,1,3.0,1,1,2,5.0,5990.0,1536.0,1536.01001408,94500000.0,2.0,4,3,Manikonda,17.460537,78.497056,Luxury,1535.98998592
376,Independent House/Villa,Hyderabad,3,2.0,2,2,3,1.0,100000.0,2862.0,2862.0161362559998,31800000.0,0.0,,,Manikonda,78.48667,17.38504,Budget,2861.9838637440002
390,Independent House/Villa,Hyderabad,1,10.0,2,0,2,2.0,4895.0,1800.0,1800.048736192,23500000.0,2.0,,,Manikonda,17.500334,78.3275388,Luxury,1799.951263808
392,Residential Apartment,Secunderabad,1,2.0,2,4,6,5.0,5638.0,1312.0,1312.013038656,7400000.0,1.0,3,2,Manikonda,17.3858754,78.361176,Budget,1311.986961344
395,Residential Apartment,Hyderabad,1,2.0,1,3,1,5.0,5833.0,1200.0,1199.960731392,7000000.0,2.0,2,2,Manikonda,17.531253,78.390583,Semi-luxury,1199.960731392
396,Independent House/Villa,Hyderabad,1,3.0,2,3,6,2.0,13750.0,1600.0,1599.9476418559998,22000000.0,2.0,,,Manikonda,17.538237,78.480804,Luxury,1599.9476418559998
398,Residential Apartment,Hyderabad,1,3.0,2,1,3,5.0,3399.0,1765.0,1764.9583882880002,6000000.0,1.0,4,3,Manikonda,17.442196,78.280067,Luxury,1764.9583882880002
400,Residential Apartment,Hyderabad,1,3.0,4,3,1,5.0,7488.0,2270.0,2270.001064256,17000000.0,2.0,5,3,Manikonda,17.518637,78.340735,Luxury,2269.998935744
401,Independent House/Villa,Hyderabad,1,2.0,1,3,6,2.0,33879.0,1647.0,1646.985930304,6200000.0,2.0,,,Manikonda,17.392278,78.353868,Luxury,1646.985930304
402,Independent House/Villa,Hyderabad,1,3.0,1,5,3,2.0,11666.0,2400.0,2400.0291018880002,28000000.0,1.0,,,Manikonda,78.48667,17.38504,Luxury,2399.9708981119998
408,Residential Apartment,Hyderabad,1,3.0,2,5,5,4.0,4575.0,1530.0,1529.9822242559999,7000000.0,2.0,3,3,Manikonda,17.407322,78.539665,Luxury,1529.9822242559999
410,Residential Apartment,Hyderabad,1,3.0,2,1,3,4.0,5084.0,1475.0,1474.978642112,7500000.0,2.0,1,3,Manikonda,17.62948,78.4943,Budget,1474.978642112
412,Independent House/Villa,Secunderabad,1,4.0,4,3,3,3.0,17777.0,4500.0,4499.960381824,75000000.0,3.0,,,Manikonda,17.4609913,78.3532083,Luxury,4499.960381824
415,Residential Apartment,Hyderabad,1,3.0,2,0,5,40.0,6500.0,2600.0,2600.0225571200003,16900000.0,1.0,12,3,Manikonda,17.6197,78.082693,Budget,2599.9774428799997
417,Residential Apartment,Hyderabad,1,3.0,2,5,6,4.0,9090.0,2200.0,2200.0356466559997,20000000.0,4.0,2,3,Manikonda,17.25756,78.85695,Luxury,2199.9643533440003
419,Independent House/Villa,Hyderabad,1,4.0,2,4,1,2.0,129629.0,1215.0,1215.030205952,17500000.0,2.0,,,Manikonda,17.44007494380667,78.64775831900772,Budget,1214.969794048
428,Residential Apartment,Hyderabad,1,2.0,2,3,5,15.0,6800.0,1440.0,1439.995933312,979200000.0,1.0,8,2,Manikonda,17.361288,78.606466,Luxury,1439.995933312
430,Independent House/Villa,Hyderabad,1,4.0,0,3,5,1.0,7656.0,4310.0,4309.977363264001,33000000.0,3.0,,,Manikonda,17.563203,78.401403,Luxury,4309.977363264001
438,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,6034.0,1160.0,1160.026623808,7000000.0,2.0,3,2,Manikonda,78.48667,17.38504,Luxury,1159.973376192
439,Independent/Builder Floor,Hyderabad,1,3.0,2,3,2,4.0,2781.0,1880.0,1880.024590464,49500000.0,2.0,G,3,Manikonda,17.368876,78.55348,Budget,1879.975409536
444,Independent House/Villa,Secunderabad,1,3.0,0,0,3,2.0,75418.0,1611.0,1611.0344695679998,13500000.0,1.0,,,Manikonda,17.396115,78.357941,Budget,1610.9655304320002
445,Residential Apartment,Hyderabad,1,3.0,0,3,5,13.0,6352.0,1039.0,1039.040270912,6700000.0,1.0,4,3,Manikonda,17.485206408706663,78.60681438946276,Luxury,1038.959729088
447,Residential Apartment,Hyderabad,1,3.0,4,0,3,30.0,9368.0,1923.0,1922.9725929600002,17800000.0,1.0,7,3,Manikonda,17.4062722,78.436657,Luxury,1922.9725929600002
448,Residential Apartment,Hyderabad,1,3.0,4,5,3,5.0,9726.0,1645.0,1645.0484264320003,16000000.0,2.0,3,3,Manikonda,17.138823,78.474569,Luxury,1644.9515735679997
449,Independent House/Villa,Hyderabad,1,2.0,2,0,5,2.0,93750.0,1440.0,1439.995933312,15000000.0,1.0,,,Manikonda,17.4011618,78.37569,Budget,1439.995933312
451,Residential Apartment,Hyderabad,1,3.0,1,3,6,5.0,7812.0,1600.0,1599.9476418559998,12500000.0,2.0,1,3,Manikonda,17.478768,78.575103,Luxury,1599.9476418559998
454,Independent House/Villa,Hyderabad,1,3.0,2,3,5,3.0,6481.0,2700.0,2700.019284736,17500000.0,1.0,,,Manikonda,17.27395,78.59163,Luxury,2699.980715264
455,Independent House/Villa,Hyderabad,1,4.0,2,3,5,2.0,7045.0,1350.0,1350.009642368,15500000.0,1.0,,,Manikonda,16.985875,78.499864,Luxury,1349.990357632
456,Residential Apartment,Hyderabad,1,3.0,4,3,1,35.0,10536.0,1993.0,1993.045649664,21000000.0,1.0,9,3,Manikonda,17.31144,78.53485,Luxury,1992.954350336
457,Farm House,Hyderabad,1,4.0,1,3,1,2.0,3739.0,9360.0,9359.973566528,40000000.0,2.0,,,Manikonda,17.49182,78.32617,Luxury,9359.973566528
459,Residential Apartment,Hyderabad,1,3.0,1,3,3,4.0,7692.0,1248.0,1247.967771776,9600000.0,2.0,4,3,Manikonda,17.501856,78.624757,Luxury,1247.967771776
460,Independent House/Villa,Hyderabad,1,4.0,2,4,1,3.0,26123.0,2871.0,2870.9501818880003,63000000.0,3.0,,,Manikonda,17.338049,78.612393,Luxury,2870.9501818880003
461,Residential Land,Hyderabad,1,,0,1,0,3.0,9375.0,1440.0,1439.995933312,1500000.0,,,,Manikonda,17.533744,78.428685,Budget,1439.995933312
462,Independent House/Villa,Hyderabad,1,2.0,2,0,3,2.0,202312.0,3114.0,3113.9992787200003,70000000.0,2.0,,,Manikonda,17.448427,78.687648,Budget,3113.9992787200003
464,Independent House/Villa,Secunderabad,1,3.0,2,5,3,1.0,117269.0,11205.0,11205.015448192,139000000.0,4.0,,,Manikonda,17.459103,78.541334,Luxury,11204.984551808
465,Residential Apartment,Hyderabad,1,3.0,4,4,6,5.0,8196.0,1525.0,1525.030825472,12500000.0,2.0,2,3,Manikonda,17.448846,78.38744,Luxury,1524.969174528
466,Residential Apartment,Hyderabad,1,3.0,2,4,6,11.0,10500.0,2249.0,2249.011438976,23500000.0,2.0,9,3,Manikonda,17.19515,78.65624,Luxury,2248.988561024
467,Independent House/Villa,Hyderabad,1,4.0,2,4,5,3.0,13513.0,4255.0,4254.97378112,57500000.0,3.0,,,Manikonda,17.5468498,78.3650231,Luxury,4254.97378112
468,Independent House/Villa,Hyderabad,1,4.0,4,3,3,2.0,344036.0,3924.0,3923.9835363200004,150000000.0,1.0,,,Manikonda,17.43125,78.53602,Budget,3923.9835363200004
469,Residential Apartment,Hyderabad,1,3.0,0,4,3,5.0,5504.0,1526.0,1525.999577408,8400000.0,3.0,G,3,Manikonda,17.40223,78.3444,Luxury,1525.999577408
471,Residential Land,Hyderabad,1,,0,4,0,2.0,15209.0,2367.0,2366.98389696,4300000.0,,,,Manikonda,17.529701,78.333031,Luxury,2366.98389696
