The Aga Hall Estate,The Aga Hall Estate,2 BHK Apartment,₹3.42 - 4.75 Cr,660 - 1404 sq.ft,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']"
The Aga Hall Estate,The Aga Hall Estate,3 BHK Apartment,₹7.14 - 8.12 Cr,660 - 1404 sq.ft,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']"
Lodha Divino,Lodha,2 BHK Apartment,₹3.65 - 4.19 Cr,71397 - 1727 sq.ft,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga, now available in Lodha Divino. Apartments in this complex are available in price range of Rs. 3.65 - 8.11 Cr. Lodha Divino has apartments in multiple configurations, in range of 713.97 - 1,727 sq.ft.. This society is RERA approved and P51900049433 is the RERA number","['Eastern Express Highway', 'Lion Tarachand Bapa Hospital']"
Lodha Divino,Lodha,3 BHK Apartment,₹5.13 - 6.06 Cr,71397 - 1727 sq.ft,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga, now available in Lodha Divino. Apartments in this complex are available in price range of Rs. 3.65 - 8.11 Cr. Lodha Divino has apartments in multiple configurations, in range of 713.97 - 1,727 sq.ft.. This society is RERA approved and P51900049433 is the RERA number","['Eastern Express Highway', 'Lion Tarachand Bapa Hospital']"
Lodha Divino,Lodha,4 BHK Apartment,₹7.35 - 8.11 Cr,71397 - 1727 sq.ft,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga, now available in Lodha Divino. Apartments in this complex are available in price range of Rs. 3.65 - 8.11 Cr. Lodha Divino has apartments in multiple configurations, in range of 713.97 - 1,727 sq.ft.. This society is RERA approved and P51900049433 is the RERA number","['Eastern Express Highway', 'Lion Tarachand Bapa Hospital']"
Rustomjee 180 Bayview,Rustomjee,2 BHK Apartment,₹4 - 4.25 Cr,82398 - 189823 sq.ft,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga West, now available in Rustomjee 180 Bayview. Apartments in Rustomjee 180 Bayview have CARPET area ranging between 823.98 - 1,898.23 sq.ft.. Apartments in this complex are available in price range of Rs. 4 - 9 Cr. Rustomjee 180 Bayview 's RERA registration number is P51900066547","['Matunga Station', 'Western Exp Highway']"
Rustomjee 180 Bayview,Rustomjee,3 BHK Apartment,₹6 - 7 Cr,82398 - 189823 sq.ft,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga West, now available in Rustomjee 180 Bayview. Apartments in Rustomjee 180 Bayview have CARPET area ranging between 823.98 - 1,898.23 sq.ft.. Apartments in this complex are available in price range of Rs. 4 - 9 Cr. Rustomjee 180 Bayview 's RERA registration number is P51900066547","['Matunga Station', 'Western Exp Highway']"
Rustomjee 180 Bayview,Rustomjee,4 BHK Apartment,₹8 - 9 Cr,82398 - 189823 sq.ft,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga West, now available in Rustomjee 180 Bayview. Apartments in Rustomjee 180 Bayview have CARPET area ranging between 823.98 - 1,898.23 sq.ft.. Apartments in this complex are available in price range of Rs. 4 - 9 Cr. Rustomjee 180 Bayview 's RERA registration number is P51900066547","['Matunga Station', 'Western Exp Highway']"
Ruparel Stardom,Ruparel Realty,2 BHK Apartment,₹2.11 Cr,737 - 1235 sq.ft,"Choose your dream home from the wide variety of 2,3 BHK apartments in Evershine Nagar, available for sale in Ruparel Stardom. Prices of apartments in this project, vary between Rs. 2.11 - 3.55 Cr. This society is RERA approved and P51800055521 is the RERA number. Apartments in Ruparel Stardom have CARPET area ranging between 737 - 1,235 sq.ft.","['Ryan International School', 'Zenith Hospital']"
Ruparel Stardom,Ruparel Realty,3 BHK Apartment,₹3.55 Cr,737 - 1235 sq.ft,"Choose your dream home from the wide variety of 2,3 BHK apartments in Evershine Nagar, available for sale in Ruparel Stardom. Prices of apartments in this project, vary between Rs. 2.11 - 3.55 Cr. This society is RERA approved and P51800055521 is the RERA number. Apartments in Ruparel Stardom have CARPET area ranging between 737 - 1,235 sq.ft.","['Ryan International School', 'Zenith Hospital']"
L and T The Gateway,LNT Realty,3 BHK Apartment,₹6.57 - 7.36 Cr,113334 - 199683 sq.ft,"Looking for your dream home? Explore 3,4 BHK apartments in Sewri, now available in L and T The Gateway. Here units have different sizes, mostly in range of 1,133.34 - 1,996.83 sq.ft. CARPET area. L and T The Gateway 's RERA registration number is P51900054969. Prices of apartments in this project, vary between Rs. 6.57 - 11.57 Cr","['Bara Devi Municipal School', 'Ambedkar Nagar Metro Station']"
L and T The Gateway,LNT Realty,4 BHK Apartment,₹10.25 - 11.57 Cr,113334 - 199683 sq.ft,"Looking for your dream home? Explore 3,4 BHK apartments in Sewri, now available in L and T The Gateway. Here units have different sizes, mostly in range of 1,133.34 - 1,996.83 sq.ft. CARPET area. L and T The Gateway 's RERA registration number is P51900054969. Prices of apartments in this project, vary between Rs. 6.57 - 11.57 Cr","['Bara Devi Municipal School', 'Ambedkar Nagar Metro Station']"
Natasha Atlantis,Natasha Developers,1 BHK Apartment,₹76.5 - 77.46 L,400 - 550 sq.ft,"Beautiful 1,2 BHK apartments in Vikhroli East, are now available in Natasha Atlantis housing project. Natasha Atlantis is a RERA- registered society and P51800047526 is the RERA registration number. Apartments in Natasha Atlantis have CARPET area ranging between 400 - 550 sq.ft.. Prices of apartments in this project, vary between Rs. 76.5 L - 1.25 Cr","['Veekays English High School', 'Ruby Hospital']"
Natasha Atlantis,Natasha Developers,2 BHK Apartment,₹1.25 Cr,400 - 550 sq.ft,"Beautiful 1,2 BHK apartments in Vikhroli East, are now available in Natasha Atlantis housing project. Natasha Atlantis is a RERA- registered society and P51800047526 is the RERA registration number. Apartments in Natasha Atlantis have CARPET area ranging between 400 - 550 sq.ft.. Prices of apartments in this project, vary between Rs. 76.5 L - 1.25 Cr","['Veekays English High School', 'Ruby Hospital']"
