name,Builder,BHK,Price,Area,Description
One Marina,Sheth Creators,2 BHK Apartment,₹5.99 - 6.35 Cr,8595 - 277494 sq.ft,"Looking for your dream home? Explore 2,3,4 BHK apartments in Marine Lines, now available in One Marina. The housing society is RERA-registered with P51900019619 registration number. Prices of apartments in this project, vary between Rs. 5.99 - 17.99 Cr. One Marina has apartments in multiple configurations, in range of 859.5 - 2,774.94 sq.ft."
One Marina,Sheth Creators,3 BHK Apartment,₹9 Cr,8595 - 277494 sq.ft,"Looking for your dream home? Explore 2,3,4 BHK apartments in Marine Lines, now available in One Marina. The housing society is RERA-registered with P51900019619 registration number. Prices of apartments in this project, vary between Rs. 5.99 - 17.99 Cr. One Marina has apartments in multiple configurations, in range of 859.5 - 2,774.94 sq.ft."
One Marina,Sheth Creators,4 BHK Apartment,₹17.99 Cr,8595 - 277494 sq.ft,"Looking for your dream home? Explore 2,3,4 BHK apartments in Marine Lines, now available in One Marina. The housing society is RERA-registered with P51900019619 registration number. Prices of apartments in this project, vary between Rs. 5.99 - 17.99 Cr. One Marina has apartments in multiple configurations, in range of 859.5 - 2,774.94 sq.ft."
Ashapura The Rising 58,Ashapura United,1 BHK Apartment,₹77.09 - 82.32 L,38061 - 55176 sq.ft,"Check out 1,2 BHK apartments in Vikhroli East, now available for sale at Ashapura The Rising 58. Apartments in this complex are available in price range of Rs. 77.09 L - 1.12 Cr. The housing society is RERA-registered with P51800034950 registration number. Ashapura The Rising 58 has apartments in multiple configurations, in range of 380.61 - 551.76 sq.ft."
Ashapura The Rising 58,Ashapura United,2 BHK Apartment,₹96.87 L - 1.12 Cr,38061 - 55176 sq.ft,"Check out 1,2 BHK apartments in Vikhroli East, now available for sale at Ashapura The Rising 58. Apartments in this complex are available in price range of Rs. 77.09 L - 1.12 Cr. The housing society is RERA-registered with P51800034950 registration number. Ashapura The Rising 58 has apartments in multiple configurations, in range of 380.61 - 551.76 sq.ft."
Fortune Florence,Fortune Acres,2 BHK Apartment,₹1.71 - 2.2 Cr,742 - 1235 sq.ft,"Fortune Florence, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3 BHK apartments in Borivali East. Prices of apartments in this project, vary between Rs. 1.71 - 2.84 Cr. The housing society is RERA-registered with P51800052043 registration number. Here units have different sizes, mostly in range of 742 - 1,235 sq.ft. CARPET area"
Fortune Florence,Fortune Acres,3 BHK Apartment,₹2.51 - 2.84 Cr,742 - 1235 sq.ft,"Fortune Florence, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3 BHK apartments in Borivali East. Prices of apartments in this project, vary between Rs. 1.71 - 2.84 Cr. The housing society is RERA-registered with P51800052043 registration number. Here units have different sizes, mostly in range of 742 - 1,235 sq.ft. CARPET area"
Lodha Acenza,Lodha,3 BHK Apartment,₹5.26 - 7.55 Cr,136799 - 2700 sq.ft,"Spacious 3,4,5 BHK apartments in Andheri East are available for sale.Check out latest property options at Lodha Acenza housing society. Prices of apartments in this project, vary between Rs. 5.26 - 10.5 Cr. Lodha Acenza 's RERA registration number is P51800048862. Here units have different sizes, mostly in range of 1,367.99 - 2,700 sq.ft. CARPET area"
Lodha Acenza,Lodha,4 BHK Apartment,₹7.76 - 8.5 Cr,136799 - 2700 sq.ft,"Spacious 3,4,5 BHK apartments in Andheri East are available for sale.Check out latest property options at Lodha Acenza housing society. Prices of apartments in this project, vary between Rs. 5.26 - 10.5 Cr. Lodha Acenza 's RERA registration number is P51800048862. Here units have different sizes, mostly in range of 1,367.99 - 2,700 sq.ft. CARPET area"
Lodha Acenza,Lodha,5 BHK Apartment,₹10.5 Cr,136799 - 2700 sq.ft,"Spacious 3,4,5 BHK apartments in Andheri East are available for sale.Check out latest property options at Lodha Acenza housing society. Prices of apartments in this project, vary between Rs. 5.26 - 10.5 Cr. Lodha Acenza 's RERA registration number is P51800048862. Here units have different sizes, mostly in range of 1,367.99 - 2,700 sq.ft. CARPET area"
