The Aga Hall Estate,The Aga Hall Estate,3,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']",8.12,1404.0,57834.76,3
Lodha Divino,Lodha,2,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga, now available in Lodha Divino. Apartments in this complex are available in price range of Rs. 3.65 - 8.11 Cr. Lodha Divino has apartments in multiple configurations, in range of 713.97 - 1,727 sq.ft.. This society is RERA approved and P51900049433 is the RERA number","['Eastern Express Highway', 'Lion Tarachand Bapa Hospital']",4.19,1727.0,24261.73,2
Lodha Divino,Lodha,3,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga, now available in Lodha Divino. Apartments in this complex are available in price range of Rs. 3.65 - 8.11 Cr. Lodha Divino has apartments in multiple configurations, in range of 713.97 - 1,727 sq.ft.. This society is RERA approved and P51900049433 is the RERA number","['Eastern Express Highway', 'Lion Tarachand Bapa Hospital']",6.06,1727.0,35089.75,3
Lodha Divino,Lodha,4,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga, now available in Lodha Divino. Apartments in this complex are available in price range of Rs. 3.65 - 8.11 Cr. Lodha Divino has apartments in multiple configurations, in range of 713.97 - 1,727 sq.ft.. This society is RERA approved and P51900049433 is the RERA number","['Eastern Express Highway', 'Lion Tarachand Bapa Hospital']",8.11,1727.0,46960.05,4
Rustomjee 180 Bayview,Rustomjee,2,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga West, now available in Rustomjee 180 Bayview. Apartments in Rustomjee 180 Bayview have CARPET area ranging between 823.98 - 1,898.23 sq.ft.. Apartments in this complex are available in price range of Rs. 4 - 9 Cr. Rustomjee 180 Bayview 's RERA registration number is P51900066547","['Matunga Station', 'Western Exp Highway']",4.25,189823.0,223.89,2
Rustomjee 180 Bayview,Rustomjee,3,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga West, now available in Rustomjee 180 Bayview. Apartments in Rustomjee 180 Bayview have CARPET area ranging between 823.98 - 1,898.23 sq.ft.. Apartments in this complex are available in price range of Rs. 4 - 9 Cr. Rustomjee 180 Bayview 's RERA registration number is P51900066547","['Matunga Station', 'Western Exp Highway']",7.0,189823.0,368.76,3
Rustomjee 180 Bayview,Rustomjee,4,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga West, now available in Rustomjee 180 Bayview. Apartments in Rustomjee 180 Bayview have CARPET area ranging between 823.98 - 1,898.23 sq.ft.. Apartments in this complex are available in price range of Rs. 4 - 9 Cr. Rustomjee 180 Bayview 's RERA registration number is P51900066547","['Matunga Station', 'Western Exp Highway']",9.0,189823.0,474.13,4
Ruparel Stardom,Ruparel Realty,2,"Choose your dream home from the wide variety of 2,3 BHK apartments in Evershine Nagar, available for sale in Ruparel Stardom. Prices of apartments in this project, vary between Rs. 2.11 - 3.55 Cr. This society is RERA approved and P51800055521 is the RERA number. Apartments in Ruparel Stardom have CARPET area ranging between 737 - 1,235 sq.ft.","['Ryan International School', 'Zenith Hospital']",2.11,1235.0,17085.02,2
Ruparel Stardom,Ruparel Realty,3,"Choose your dream home from the wide variety of 2,3 BHK apartments in Evershine Nagar, available for sale in Ruparel Stardom. Prices of apartments in this project, vary between Rs. 2.11 - 3.55 Cr. This society is RERA approved and P51800055521 is the RERA number. Apartments in Ruparel Stardom have CARPET area ranging between 737 - 1,235 sq.ft.","['Ryan International School', 'Zenith Hospital']",3.55,1235.0,28744.94,3
L and T The Gateway,LNT Realty,3,"Looking for your dream home? Explore 3,4 BHK apartments in Sewri, now available in L and T The Gateway. Here units have different sizes, mostly in range of 1,133.34 - 1,996.83 sq.ft. CARPET area. L and T The Gateway 's RERA registration number is P51900054969. Prices of apartments in this project, vary between Rs. 6.57 - 11.57 Cr","['Bara Devi Municipal School', 'Ambedkar Nagar Metro Station']",7.36,199683.0,368.58,3
L and T The Gateway,LNT Realty,4,"Looking for your dream home? Explore 3,4 BHK apartments in Sewri, now available in L and T The Gateway. Here units have different sizes, mostly in range of 1,133.34 - 1,996.83 sq.ft. CARPET area. L and T The Gateway 's RERA registration number is P51900054969. Prices of apartments in this project, vary between Rs. 6.57 - 11.57 Cr","['Bara Devi Municipal School', 'Ambedkar Nagar Metro Station']",11.57,199683.0,579.42,4
